team,scorer,goals,penalties
Algeria,Amine Gouiri,1,0
Algeria,Nadhir Benbouali,1,0
Argentina,Lionel Messi,5,0
Australia,Connor Metcalfe,1,0
Australia,Nestory Irankunda,1,0
Austria,Marko Arnautović,1,1
Austria,Romano Schmid,1,0
Bosnia and Herzegovina,Ermin Mahmić,2,0
Bosnia and Herzegovina,Jovo Lukić,1,0
Bosnia and Herzegovina,Kerim Alajbegović,1,0
Brazil,Vinícius Júnior,4,0
Brazil,Matheus Cunha,3,0
Canada,Jonathan David,3,0
Canada,Cyle Larin,2,0
Canada,Nathan Saliba,1,0
Canada,Promise David,1,0
Cape Verde,Hélio Varela,1,0
Cape Verde,Kevin Pina,1,0
Colombia,Daniel Muñoz,2,0
Colombia,Jaminton Campaz,1,0
Colombia,Luis Díaz,1,0
Croatia,Ante Budimir,1,0
Croatia,Martin Baturina,1,0
Croatia,Petar Musa,1,0
Curaçao,Livano Comenencia,1,0
Czech Republic,Ladislav Krejčí,1,0
Czech Republic,Michal Sadílek,1,0
DR Congo,Yoane Wissa,1,0
Egypt,Emam Ashour,1,0
Egypt,Mohamed Salah,1,0
Egypt,Mostafa Ziko,1,0
Egypt,Trézéguet,1,0
England,Harry Kane,2,1
England,Jude Bellingham,1,0
England,Marcus Rashford,1,0
France,Kylian Mbappé,4,0
France,Bradley Barcola,1,0
France,Ousmane Dembélé,1,0
Germany,Deniz Undav,3,0
Germany,Kai Havertz,2,1
Germany,Felix Nmecha,1,0
Germany,Jamal Musiala,1,0
Germany,Nathaniel Brown,1,0
Germany,Nico Schlotterbeck,1,0
Ghana,Caleb Yirenkyi,1,0
Haiti,Wilson Isidor,1,0
Iran,Mohammad Mohebi,1,0
Iran,Ramin Rezaeian,1,0
Iraq,Aymen Hussein,1,0
Ivory Coast,Amad Diallo,1,0
Ivory Coast,Franck Kessié,1,0
Japan,Ayase Ueda,2,0
Japan,Daichi Kamada,2,0
Japan,Junya Itō,1,0
Japan,Keito Nakamura,1,0
Jordan,Ali Olwan,1,0
Jordan,Nizar Al-Rashdan,1,0
Mexico,Julián Quiñones,2,0
Mexico,Luis Romo,1,0
Mexico,Mateo Chávez,1,0
Mexico,Raúl Jiménez,1,0
Mexico,Álvaro Fidalgo,1,0
Morocco,Ismael Saibari,3,0
Morocco,Achraf Hakimi,1,0
Morocco,Gessime Yassine,1,0
Morocco,Soufiane Rahimi,1,0
Netherlands,Brian Brobbey,2,0
Netherlands,Cody Gakpo,2,0
Netherlands,Crysencio Summerville,2,0
Netherlands,Virgil van Dijk,1,0
New Zealand,Elijah Just,2,0
New Zealand,Finn Surman,1,0
Norway,Erling Haaland,4,0
Norway,Leo Østigård,1,0
Norway,Marcus Holmgren Pedersen,1,0
Paraguay,Matías Galarza,1,0
Paraguay,Maurício,1,0
Portugal,Cristiano Ronaldo,2,0
Portugal,João Neves,1,0
Portugal,Nuno Mendes,1,0
Portugal,Rafael Leão,1,0
Qatar,Hassan Al-Haydos,1,0
Saudi Arabia,Abdulelah Al-Amri,1,0
Scotland,John McGinn,1,0
Senegal,Ismaïla Sarr,2,0
Senegal,Ibrahim Mbaye,1,0
South Africa,Teboho Mokoena,1,1
South Africa,Thapelo Maseko,1,0
South Korea,Hwang In-beom,1,0
South Korea,Oh Hyeon-gyu,1,0
Spain,Mikel Oyarzabal,2,0
Spain,Lamine Yamal,1,0
Sweden,Yasin Ayari,2,0
Sweden,Alexander Isak,1,0
Sweden,Anthony Elanga,1,0
Sweden,Mattias Svanberg,1,0
Sweden,Viktor Gyökeres,1,0
Switzerland,Johan Manzambi,3,0
Switzerland,Rubén Vargas,2,0
Switzerland,Breel Embolo,1,1
Switzerland,Granit Xhaka,1,1
Tunisia,Omar Rekik,1,0
United States,Folarin Balogun,2,0
United States,Alex Freeman,1,0
United States,Giovanni Reyna,1,0
Uruguay,Maximiliano Araújo,2,0
Uruguay,Agustín Canobbio,1,0
Uzbekistan,Abbosbek Fayzullaev,1,0
